  Данные статистики о клиентах

доход,   размер кредита,  возраст,
 44.18     134.80          47.89
 30.62      89.97          57.25
 39.19      89.87          53.39
 28.66     131.89          45.02
 33.94      96.68          43.38
 33.31     115.20          53.20
 26.40     101.52          45.40
 32.08      99.89          56.66
 29.14     136.64          55.31
 33.28     104.30          37.75
 35.85     102.54          31.91
 29.58      86.36          56.48
 25.90     111.61          48.10
 30.59     105.91          53.48
 36.46     121.13          47.07
 28.72     121.23          44.41
 26.85      91.84          39.00
 33.68     115.52          43.34
 24.52     116.60          49.36
 28.75     102.75          60.16
 20.78     122.27          63.55
 29.52      93.87          41.44
 27.92      75.39          45.66
 27.74     104.31          36.62
 26.97     113.11          55.51
 43.04      78.03          46.76
 28.75     126.42          60.59
 35.91     126.64          53.67
 11.20      29.24          32.72
 14.39      47.45          33.44
 13.46      23.28          28.67
 18.72      47.41          36.70
 17.68      27.42          32.15
 17.31      26.71          34.55
 18.19      37.07          38.58
 20.41      30.59          39.75
 20.13      33.07          29.20
 18.31      28.22          40.21
 21.89      37.48          38.15
 13.78      53.98          31.13
 16.07      21.69          26.08
 20.27      30.34          35.52
 12.17      42.60          30.58
 12.85      34.37          36.68
 12.46      42.44          30.07
 12.72      35.58          31.77
 14.90      33.53          35.23
 10.33      25.49          32.88
 10.79      32.02          34.70
 21.08      38.78          34.91
 16.07      28.52          36.68
 15.61      45.31          43.85
 20.62      36.21          35.80
 13.23      15.26          36.79
  7.76      37.25          25.07
  7.59      55.63          39.66
 11.13      41.46          30.01
 22.07      42.78          34.56
 13.34       9.03          32.64
 19.13      36.84          32.14
 10.73      41.72          38.94
 17.52      38.57          36.56
 12.77      40.20          37.92
 13.55      18.07          32.97
  8.59      28.28          40.30
 15.62      24.01          29.78
 14.54      25.47          33.59
 18.29      23.28          33.26
 18.72      31.59          32.49
  8.29      30.93          32.21
 21.86      34.55          41.08
 13.77      34.29          36.46
 15.47      25.45          38.26
 14.57      37.73          35.03
 15.16      23.64          35.25
 12.93      47.12          39.83
 15.77      35.29          33.46
 20.23      18.44          34.69
 16.07      34.11          33.48
 13.91      25.85          33.38
 14.61      34.71          34.73
 21.20      35.87          33.55
 13.59      49.43          30.02
 15.06      30.86          38.64
 19.36      33.80          35.75
 17.43      24.45          32.60
 20.78      43.35          39.14
  8.58      28.59          36.23
 17.00      33.68          30.28
 18.35      38.63          33.82
 14.63      40.09          35.89
 12.86      21.84          38.04
 10.33      30.42          33.15
 14.63      31.00          36.08
 17.05      50.91          30.32
 17.97      33.31          34.43
 17.79      30.02          36.43
 10.12      40.94          34.48
 17.48      22.64          34.81
 14.72      19.81          30.51
 16.73      36.10          42.07
 14.18      15.66          40.11
 10.11      23.47          31.61
 16.50      36.22          35.09
 23.88      39.24          34.32
 14.57      24.07          36.34
 23.05      29.36          36.22
  9.96      44.98          36.55
 17.70      40.37          32.53
 14.53      38.31          30.45
 18.40      29.76          36.38
 16.44      42.46          36.14
 11.71      38.83          34.76
 13.30      37.82          39.96
 13.05      17.36          37.39
 11.03      29.97          30.90
 19.14      20.90          38.52
  9.03      26.65          37.81
 15.44      26.64          39.83
 13.52      39.24          34.42
 14.20      31.68          36.28
  7.47      39.64          33.06
 16.50      32.99          38.79
 16.02      32.20          36.19
 12.09       7.42          32.60
 15.87      23.92          33.97
 13.00      51.24          35.80
 16.85      30.43          37.22
262.32     262.15          43.37
268.97     289.50          44.94
238.43     270.90          43.39
250.38     228.19          45.05
246.98     241.23          45.00
257.01     244.31          45.15
280.02     259.02          43.56
269.99     250.53          44.47
307.09     246.19          45.21
281.41     268.89          45.68
242.66     235.04          46.96
254.53     282.90          45.72
244.54     274.27          43.40
275.99     250.17          43.67
254.56     274.53          46.75
285.45     282.36          42.96
302.46     248.95          42.97
274.45     260.49          44.29
259.08     265.55          45.98
268.05     268.30          43.94
234.28     258.47          43.28
259.30     256.18          44.55
249.06     231.55          46.03
230.84     272.11          42.80
221.32     261.95          45.60
245.02     264.49          43.27
281.15     233.00          46.50
232.30     262.86          43.83
227.94     301.41          43.99
226.42     248.09          45.48
237.29     289.07          44.44
280.21     228.25          46.08
261.16     283.38          45.79
266.63     296.57          47.10
226.74     256.82          44.81
241.99     279.50          43.26
255.55     274.64          47.09
247.89     317.12          44.45
259.44     297.99          44.31
276.10     249.64          45.67
275.21     262.69          47.61
295.78     275.48          47.54
247.37     271.21          44.01
264.70     234.72          43.71
275.52     283.30          43.51
256.12     291.92          46.03
254.23     297.69          43.21
267.73     280.04          43.65
228.32     258.81          44.90
229.15     286.83          45.55
232.57     269.00          43.79
217.50     264.81          43.98
257.60     243.32          44.82
254.27     266.99          44.87
259.19     281.79          44.56
279.89     264.15          46.84
255.74     269.63          45.04
248.18     245.26          45.61
253.92     250.65          45.44
271.77     284.11          44.52
274.11     274.32          43.07
286.58     281.96          45.69
271.15     278.18          42.90
282.82     270.87          45.40
239.72     258.28          45.81
280.73     264.56          46.02
236.43     293.08          44.86
281.39     220.61          44.90
277.52     277.44          47.24
242.24     245.97          44.32
227.24     274.80          47.38
235.66     280.29          44.22
244.33     266.75          46.47
259.74     246.10          45.41
234.04     289.56          43.82
282.67     294.28          41.97
233.90     282.28          44.88
246.76     263.43          46.09
275.62     271.29          44.42
263.33     269.49          44.92
284.64     274.63          44.88
211.78     263.88          43.84
255.60     248.71          45.96
256.64     220.16          45.88
276.20     243.17          44.58
266.49     285.30          43.42
241.44     305.27          46.04
263.55     286.03          46.03
286.16     277.37          44.57
293.13     274.89          43.35
249.19     265.43          44.69
257.12     238.01          43.75
289.95     248.82          44.12
220.34     287.03          46.13
253.23     263.92          46.04
255.50     285.63          45.01
283.49     250.98          45.37
242.93     256.47          45.23
240.54     255.99          44.07
247.65     295.91          45.05
  9.79     189.63          34.58
  7.88     202.80          32.70
 12.87     192.87          34.29
 10.68     204.04          36.67
 10.70     197.68          35.74
  9.90     209.06          35.62
 10.43     199.69          36.72
  7.87     204.62          36.33
 12.55     187.45          37.23
  7.62     210.19          35.12
  9.72     204.15          34.51
 10.20     193.96          35.72
  7.97     206.73          34.82
  6.90     191.55          34.46
 10.40     204.60          36.73
  9.59     195.07          33.76
 11.38     197.41          36.51
 12.00     188.53          34.80
  8.50     205.90          35.10
 13.77     206.50          36.18
  9.57     200.62          32.66
 10.45     201.66          33.63
 11.94     197.36          35.32
 12.56     202.46          34.35
  7.82     192.19          36.11
 10.08     189.01          34.58
  7.28     209.98          33.79
 12.87     195.77          34.50
  9.36     208.32          34.83
 12.96     206.76          36.42
  9.98     199.35          35.47
  7.29     212.87          36.02
 10.34     201.24          32.60
  4.86     196.74          33.58
 10.50     204.66          31.71
  9.49     209.97          34.41
 11.87     192.83          36.74
  6.81     202.11          35.36
 10.11     187.82          34.48
 11.21     193.08          30.70
  8.34     196.18          35.73
  8.80     186.99          36.09
  9.55     208.07          38.37
 11.00     183.30          36.49
  9.29     202.45          34.84
  8.13     186.32          37.11
 10.15     207.81          33.34
  9.41     198.98          33.26
  7.99     209.95          35.03
  9.82     191.87          35.46
  9.85     212.47          35.02
 10.65     196.26          33.86
  9.96     207.91          33.87
  9.79     208.88          35.67
 16.75     203.73          33.48
 11.90     206.43          34.71
  8.47     199.20          33.08
 11.76     206.75          35.51
 10.24     187.07          33.52
  7.61     195.28          36.39
  9.12     202.03          34.20
  9.59     221.88          35.40
 11.59     186.28          33.50
  8.87     218.26          34.51
 11.86     199.81          34.19
  9.02     207.85          36.86
 10.00     201.19          35.24
  9.07     214.84          33.58
  9.99     197.57          35.27
 10.67     199.65          34.61
  9.75     198.58          33.62
  9.55     205.09          36.25
 11.58     192.19          34.73
  8.65     202.30          36.74
  9.56     192.24          34.69
  8.86     196.46          35.85
  8.74     198.71          33.81
  9.30     203.56          35.52
  9.20     202.45          35.26
 11.71     212.74          37.81
 11.30     194.86          32.85
 10.41     192.88          34.68
 11.28     198.60          33.42
 11.30     193.82          37.47
  9.35     200.90          35.60
 12.22     192.18          32.90
  9.34     179.67          34.80
  9.88     191.44          35.95
 12.00     199.83          33.43
  7.94     211.78          34.03
 11.08     200.16          36.34
  9.36     193.73          32.94
  7.33     208.14          34.32
 14.12     202.66          37.30
 10.27     226.43          36.74
  8.63     195.25          33.97
  7.22     191.36          36.50
 10.19     182.66          34.75
 12.73     192.99          34.24
 11.33     206.65          33.32
